City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
226,Pacasmayo,Pe,-7.4006,-79.5714,70.95,74,48,16.75,scattered clouds
227,Itarema,Br,-2.9248,-39.9167,79.83,84,85,5.46,overcast clouds
228,San Patricio,Us,28.017,-97.5169,93.16,42,0,21.03,clear sky
229,Vidalia,Us,32.2177,-82.4135,95.11,36,40,9.22,scattered clouds
230,Fairview,Us,40.8126,-73.999,65.55,78,100,4.61,overcast clouds
231,Villa Carlos Paz,Ar,-31.4241,-64.4978,64.06,29,0,15.01,clear sky
232,Honningsvag,No,70.9821,25.9704,35.35,80,75,3.44,broken clouds
233,Prince Rupert,Ca,54.3161,-130.3201,50.09,84,100,4.61,overcast clouds
234,Kahului,Us,20.8947,-156.47,84.22,54,20,11.5,few clouds
235,Tocopilla,Cl,-22.092,-70.1979,67.15,63,19,8.55,few clouds
236,Hobyo,So,5.3505,48.5268,80.04,82,96,26.11,overcast clouds
237,Beringovskiy,Ru,63.05,179.3167,35.78,89,100,2.82,overcast clouds
238,Mnogovershinnyy,Ru,53.9353,139.9242,30.78,90,93,3.31,overcast clouds
239,Laiyang,Cn,36.9758,120.7136,60.13,57,54,3.27,broken clouds
240,Suisun City,Us,38.2382,-122.0402,91.15,29,100,7.0,overcast clouds
241,Adrar,Mr,20.5022,-10.0711,87.87,8,67,2.44,broken clouds
242,Camopi,Gf,3.1655,-52.3158,75.49,94,100,2.53,overcast clouds
243,Manokwari,Id,-0.8667,134.0833,78.55,81,100,3.4,overcast clouds
244,Opochka,Ru,56.7105,28.6617,51.08,82,100,2.84,overcast clouds
245,Ust-Kuyga,Ru,70.0167,135.6,32.74,92,100,3.56,overcast clouds
246,Saskylakh,Ru,71.9167,114.0833,30.65,94,100,3.58,overcast clouds
247,Kiruna,Se,67.8557,20.2251,45.52,46,63,4.61,broken clouds
248,Nome,Us,64.5011,-165.4064,30.27,100,100,4.61,mist
249,Bourg-En-Bresse,Fr,46.1667,5.1667,78.62,79,100,4.81,overcast clouds
250,Nemuro,Jp,43.3236,145.575,46.98,94,93,12.28,overcast clouds
251,Sibu,My,2.3,111.8167,75.51,100,20,1.14,few clouds
252,Mogadishu,So,2.0371,45.3438,79.9,85,49,17.85,scattered clouds
253,La Libertad,Ec,-2.2333,-80.9,78.46,73,0,8.05,clear sky
254,Jibuti,Dj,11.5,42.5,84.79,39,55,8.93,broken clouds
255,Osmena,Ph,10.5208,119.9258,83.19,75,74,5.48,broken clouds
256,Kaitangata,Nz,-46.2817,169.8464,43.81,85,100,10.8,overcast clouds
257,Rio Branco,Br,-9.9747,-67.81,77.61,50,0,3.44,clear sky
258,Srednekolymsk,Ru,67.45,153.6833,48.96,49,86,6.62,overcast clouds
259,Pangoa,Pe,-12.1167,-73.0,75.52,56,100,3.02,overcast clouds
260,Hithadhoo,Mv,-0.6,73.0833,82.96,75,39,11.92,scattered clouds
261,Oistins,Bb,13.0667,-59.5333,86.09,66,20,18.41,few clouds
262,Sinnamary,Gf,5.3833,-52.95,80.46,79,39,5.37,scattered clouds
263,Bredasdorp,Za,-34.5322,20.0403,52.02,59,16,4.36,few clouds
264,Libertador General San Martin,Ar,-23.8064,-64.7876,68.97,44,77,5.28,broken clouds
265,Provideniya,Ru,64.3833,-173.3,39.54,82,100,4.45,overcast clouds
266,Krasnoselkup,Ru,65.7,82.4667,49.51,82,96,13.09,overcast clouds
267,Nizwa,Om,22.9333,57.5333,87.28,25,0,7.43,clear sky
268,Marfino,Ru,55.7028,37.3822,46.65,79,0,6.71,clear sky
269,Balotra,In,25.8333,72.2333,89.6,32,0,13.33,clear sky
270,Pacific Grove,Us,36.6177,-121.9166,77.54,72,6,13.0,clear sky
271,Pisco,Pe,-13.7,-76.2167,69.85,73,20,9.22,few clouds
272,Mikumi,Tz,-7.4041,36.9831,66.61,78,85,3.13,overcast clouds
273,Avera,Us,33.194,-82.5271,93.38,29,32,10.07,scattered clouds
274,San Jose,Us,37.3394,-121.895,87.44,39,40,18.41,scattered clouds
