City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
371,Albion,Us,77.58,broken clouds,42.2431,-84.753,Days Inn by Wyndham Albion
372,Dingle,Ph,77.92,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Ahuimanu,Us,81.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
376,Sterling,Us,85.86,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
377,Yilan,Tw,77.36,scattered clouds,24.757,121.753,Dar Chen Hotel
382,Gulbarga,In,80.47,light rain,17.3333,76.8333,OYO 37176 N K Comforts
388,Lorengau,Pg,81.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
390,Veraval,In,81.72,clear sky,20.9,70.3667,Lords Inn Somnath
391,Rafsanjan,Ir,77.58,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
392,Ugoofaaru,Mv,83.14,overcast clouds,5.6667,73.0,Ungoofaaru Inn
393,Mumford,Gh,80.67,overcast clouds,5.2618,-0.759,Spanish Villa
397,Sur,Om,89.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
398,Omboue,Ga,76.73,overcast clouds,-1.5746,9.2618,Hotel Olako
399,Bathsheba,Bb,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
401,Lekoni,Ga,75.43,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
406,Maragogi,Br,80.19,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
410,Celestun,Mx,86.88,scattered clouds,20.8667,-90.4,Posada Lilia
417,Honiara,Sb,76.98,clear sky,-9.4333,159.95,Heritage Park Hotel
418,Boa Vista,Br,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
421,Bambanglipuro,Id,77.43,overcast clouds,-7.95,110.2833,Puri Brata
423,Hambantota,Lk,79.07,broken clouds,6.1241,81.1185,Bungalow 63
431,Auki,Sb,76.8,clear sky,-8.7676,160.7034,Auki Motel
